,matchcode,team,map,priority
740,2329639,expert,Overpass,1
741,2329639,Windigo,Nuke,2
742,2329639,expert,Mirage,3
743,2329639,Windigo,Train,4
744,2329637,Sprout,Overpass,1
745,2329637,Windigo,Nuke,2
746,2329637,Sprout,Dust2,3
747,2329637,Windigo,Mirage,4
748,2329636,Valiance,Nuke,1
749,2329636,expert,Mirage,2
750,2329636,Valiance,Overpass,3
751,2329636,expert,Inferno,4
752,2329635,Vexed,Nuke,1
753,2329635,x6tence Galaxy,Cache,2
754,2329635,Vexed,Overpass,3
755,2329635,x6tence Galaxy,Dust2,4
756,2329633,HAVU,Inferno,1
757,2329633,Sprout,Overpass,2
