,matchcode,team,map
680,2326685,Big 5,Dust2
681,2326655,Flash,Dust2
682,2326655,CyberZen,Nuke
683,2326654,5POWER,Dust2
684,2326654,Flash,Mirage
685,2326675,OGN,Train
686,2326675,Nemesis,Cache
687,2326677,TDR,Inferno
688,2326677,YamatO,Overpass
689,2326683,eNergy Academy,Mirage
690,2326683,White Rabbit,Inferno
691,2326653,CyberZen,Train
692,2326653,EHOME,Overpass
693,2326615,Windigo,Nuke
694,2326615,toxic,Mirage
695,2326682,Big 5,Mirage
696,2326682,Goliath,Inferno
697,2326652,CyberZen,Nuke
698,2326652,5POWER,Dust2
699,2326651,Flash,Dust2
700,2326651,EHOME,Overpass
701,2326674,FX,Cache
702,2326674,Nemesis,Inferno
703,2326673,OGN,Nuke
704,2326673,B-beasts,Inferno
705,2326679,Quad,Overpass
706,2326679,Fusion,Cache
707,2326678,Blue Void,Inferno
708,2326678,Good Fellas,Dust2
709,2326671,Wild,Inferno
710,2326671,Bull,Cache
711,2326660,Syman,Train
712,2326660,unknown,Overpass
713,2326432,Bpro,Mirage
714,2326432,EURONICS,Inferno
715,2326637,Sparta,Mirage
716,2326637,EHOME,Nuke
717,2326431,Forge,Nuke
718,2326431,expert,Overpass
719,2326348,Majestic Lions,Cache
720,2326348,WASD,Train
721,2326347,HAVU,Train
722,2326347,Endpoint,Overpass
723,2326598,DreamEaters,Mirage
724,2326598,Monolith,Nuke
725,2326601,ALTERNATE aTTaX,Nuke
726,2326601,Valiance,Mirage
727,2326597,Izako Boars,Train
728,2326597,x-kom,Dust2
729,2326602,pro100,Inferno
730,2326602,Tempo Storm,Dust2
731,2326596,Evolution,Train
732,2326596,WINside,Dust2
733,2326600,LDLC,Overpass
734,2326600,DreamEaters,Mirage
735,2326599,Movistar Riders,Mirage
736,2326599,forZe,Inferno
737,2326473,Kinguin,Nuke
738,2326473,ENCE,Dust2
739,2326592,NRG,Inferno
740,2326592,Swole Patrol,Cache
741,2326472,Imperial,Mirage
742,2326472,ENCE,Dust2
743,2326375,North,Inferno
744,2326375,Vega Squadron,Mirage
745,2326586,GTZ-Bulls,Nuke
746,2326586,Giants,Inferno
747,2326586,GTZ-Bulls,Dust2
748,2326586,Giants,Mirage
749,2326595,ALTERNATE aTTaX,Inferno
750,2326595,Tricked,Mirage
751,2326471,Kinguin,Dust2
752,2326471,AGO,Train
753,2326374,BIG,Dust2
754,2326374,OpTic,Train
755,2326585,Panthers,Inferno
756,2326585,GTZ-Bulls,Nuke
757,2326373,Spirit,Overpass
758,2326373,TYLOO,Inferno
759,2326593,Beyond,Cache
760,2326593,RRQ,Dust2
761,2326479,Entity,Overpass
762,2326479,OpTic India,Inferno
763,2326589,D13,Nuke
764,2326589,2990,Inferno
765,2326587,SuperJymy,Train
766,2326587,ALTERNATE aTTaX,Overpass
767,2326591,Sharks,Mirage
768,2326591,Tricked,Inferno
769,2326533,Vindicta,Inferno
770,2326533,Random5,Mirage
771,2326594,TRIDENT,Cache
772,2326594,madlikewizards,Inferno
773,2326478,Entity,Overpass
774,2326478,Slaughter Rage Army,Dust2
775,2326526,Swole Patrol,Dust2
776,2326526,eUnited,Overpass
777,2326470,Imperial,Cache
778,2326470,Luminosity,Overpass
779,2326524,NRG,Train
780,2326524,BlackOut,Nuke
781,2326525,Swole Patrol,Cache
782,2326525,FURIA,Nuke
783,2326469,Kinguin,Dust2
784,2326469,Red Reserve,Overpass
785,2326583,PACT,Nuke
786,2326583,Tricked,Inferno
787,2326582,Sharks,Mirage
